board_index,board_name,width,height,total_mines,selections,opened_safe,opened_mines,cycles,cfg_cycles,load_cycles,solver_cycles,score_cycles,total_board_cycles,score_numerator,score_denominator,score_scaled,score,board_crc,jtag_retries,transport_error,protocol_version,build_id,solver_stalled
369,board_6x4_5_11291_none,6,4,5,17,19,1,18303,0,0,18303,0,18303,76,95,8000,0.8000,A5A4,0,0,2,0001,0
370,board_4x12_12_11297_none,4,12,12,18,36,1,16161,0,0,16161,0,16161,396,432,9166,0.9166,93E0,0,0,2,0001,0
371,board_10x19_26_11312_none,10,19,26,60,164,1,63854,0,0,63854,0,63854,4100,4264,9615,0.9615,AC7D,0,0,2,0001,0
372,board_14x14_41_11343_none,14,14,41,74,155,3,70999,0,0,70999,0,70999,5890,6355,9268,0.9268,6AAF,0,0,2,0001,0
373,board_19x4_11_11395_none,19,4,11,19,65,0,59997,0,0,59997,0,59997,715,715,10000,1.0000,AAE5,0,0,2,0001,0
374,board_17x14_62_11407_none,17,14,62,107,172,3,414465,0,0,414465,0,414465,10136,10912,9288,0.9288,09F1,0,0,2,0001,1
375,board_16x16_62_11479_none,16,16,62,132,194,1,570292,0,0,570292,0,570292,11834,12028,9838,0.9838,3CD1,0,0,2,0001,0
376,board_12x19_35_11559_none,12,19,35,70,193,0,12568,0,0,12568,0,12568,6755,6755,10000,1.0000,77B0,0,0,2,0001,0
377,board_9x18_27_11595_none,9,18,27,68,135,1,32075,0,0,32075,0,32075,3510,3645,9629,0.9629,FC16,0,0,2,0001,0
378,board_4x5_3_11628_none,4,5,3,6,17,0,2819,0,0,2819,0,2819,51,51,10000,1.0000,EB66,0,0,2,0001,0
379,board_6x8_11_11632_none,6,8,11,20,37,2,8134,0,0,8134,0,8134,333,407,8181,0.8181,C878,0,0,2,0001,0
380,board_11x18_35_11644_none,11,18,35,62,163,2,42960,0,0,42960,0,42960,5379,5705,9428,0.9428,BB4E,0,0,2,0001,0
381,board_14x19_36_11685_none,14,19,36,64,230,0,13541,0,0,13541,0,13541,8280,8280,10000,1.0000,D03E,0,0,2,0001,0
382,board_19x12_60_11725_none,19,12,60,108,154,1,245013,0,0,245013,0,245013,9072,10080,9000,0.9000,0F8F,0,0,2,0001,1
383,board_18x4_10_11796_none,18,4,10,22,62,0,14757,0,0,14757,0,14757,620,620,10000,1.0000,A84F,0,0,2,0001,0
384,board_11x14_34_11808_none,11,14,34,74,120,1,144400,0,0,144400,0,144400,3960,4080,9705,0.9705,EDF3,0,0,2,0001,0
385,board_7x19_19_11845_none,7,19,19,33,114,0,13861,0,0,13861,0,13861,2166,2166,10000,1.0000,87D0,0,0,2,0001,0
386,board_4x14_14_11865_none,4,14,14,24,42,1,40694,0,0,40694,0,40694,546,588,9285,0.9285,C499,0,0,2,0001,0
387,board_6x4_3_11881_none,6,4,3,8,21,0,1596,0,0,1596,0,1596,63,63,10000,1.0000,C6C6,0,0,2,0001,0
388,board_12x10_30_11885_none,12,10,30,31,66,1,52244,0,0,52244,0,52244,1890,2700,7000,0.7000,51DB,0,0,2,0001,1
