"board_index","board_name","width","height","total_mines","selections","opened_safe","opened_mines","cycles","cfg_cycles","load_cycles","solver_cycles","score_cycles","total_board_cycles","score_numerator","score_denominator","score_scaled","score","solver_stalled"
"879","board_5x12_15_26956_none","5","12","15","39","45","3","93696","3","60","93696","37","93798","540","675","8000","0.8000","0"
"880","board_8x18_20_26974_none","8","18","20","46","124","0","28714","3","144","28714","37","28900","2480","2480","10000","1.0000","0"
"881","board_14x18_58_26995_none","14","18","58","98","179","2","558337","3","252","558337","37","558631","9994","11252","8881","0.8881","1"
"882","board_18x10_37_27066_none","18","10","37","76","143","1","30266","3","180","30266","37","30488","5148","5291","9729","0.9729","0"
"883","board_18x8_25_27109_none","18","8","25","64","119","1","47670","3","144","47670","37","47856","2856","2975","9600","0.9600","0"
"884","board_19x6_17_27138_none","19","6","17","46","97","0","18271","3","114","18271","37","18427","1649","1649","10000","1.0000","0"
"885","board_18x8_37_27158_none","18","8","37","80","107","2","124585","3","144","124585","37","124771","3745","3959","9459","0.9459","0"
"886","board_16x12_40_27197_none","16","12","40","85","152","0","25305","3","192","25305","37","25539","6080","6080","10000","1.0000","0"
"887","board_11x19_31_27240_none","11","19","31","45","178","0","24542","3","209","24542","37","24793","5518","5518","10000","1.0000","0"
"888","board_7x18_32_27275_none","7","18","32","38","63","4","226759","3","126","226759","37","226927","1640","3008","5452","0.5452","1"
"889","board_4x6_3_27308_none","4","6","3","8","21","0","2110","3","24","2110","37","2176","63","63","10000","1.0000","0"
"890","board_8x8_15_27312_none","8","8","15","31","49","0","6729","3","64","6729","37","6835","735","735","10000","1.0000","0"
"891","board_16x19_64_27330_none","16","19","64","94","240","0","36392","3","304","36392","37","36738","15360","15360","10000","1.0000","0"
"892","board_18x18_85_27401_none","18","18","85","180","239","5","424395","3","324","424395","37","424761","19120","20315","9411","0.9411","0"
"893","board_19x8_21_27503_none","19","8","21","37","131","0","25487","3","152","25487","37","25681","2751","2751","10000","1.0000","0"
"894","board_18x5_16_27526_none","18","5","16","31","74","1","10700","3","90","10700","37","10832","1110","1184","9375","0.9375","0"
"895","board_14x6_21_27544_none","14","6","21","33","63","4","48763","3","84","48763","37","48889","1071","1323","8095","0.8095","0"
"896","board_12x8_21_27569_none","12","8","21","44","75","1","10880","3","96","10880","37","11018","1500","1575","9523","0.9523","0"
"897","board_5x19_24_27595_none","5","19","24","56","70","4","239619","3","95","239619","37","239756","1396","1704","8192","0.8192","1"
"898","board_4x10_6_27622_none","4","10","6","16","34","0","4209","3","40","4209","37","4291","204","204","10000","1.0000","0"
